id,name,description,price,category,specifications
1,UltraBook Pro X1,Laptop ultradelgado con pantalla OLED de 14 pulgadas y procesador de última generación,1299.99,Laptops,"Intel Core i7-12700H, 16GB RAM, 1TB SSD, NVIDIA RTX 3060, Windows 11 Pro"
2,SmartPhone Galaxy Z,Smartphone plegable con cámara de 108MP y batería de larga duración,999.99,Smartphones,"Snapdragon 8 Gen 2, 12GB RAM, 256GB Storage, 6.7"" AMOLED, 5000mAh battery"
3,AudioTech Pro Buds,Auriculares inalámbricos con cancelación activa de ruido y sonido envolvente,199.99,Audio,"Bluetooth 5.2, ANC, 8h battery life, IPX4 water resistance, Touch controls"
4,ViewMaster 4K Ultra,Monitor curvo gaming de 32 pulgadas con tiempo de respuesta de 1ms,499.99,Monitors,"32"" 4K Curved, 144Hz, 1ms response time, HDR10, AMD FreeSync"
5,PowerStation 20000,Batería externa de alta capacidad con carga rápida y múltiples puertos,79.99,Accessories,"20000mAh, 65W Fast Charging, USB-C, USB-A, Wireless charging"
6,GameStation Pro,Consola de videojuegos de última generación con soporte para 8K,599.99,Gaming,"AMD Zen 3, RDNA 3 GPU, 16GB RAM, 1TB SSD, 8K support, Ray Tracing"
7,SmartWatch Fit X,Reloj inteligente con monitoreo avanzado de salud y GPS integrado,249.99,Wearables,"1.4"" AMOLED, Heart rate, ECG, GPS, 7-day battery, 5ATM water resistance"
8,HomeAssist Display,Asistente inteligente para el hogar con pantalla táctil y control por voz,179.99,Smart Home,"10"" HD display, Voice control, Smart home hub, Video calling, Streaming"
9,UltraBook Air S,Laptop ultraligero con gran autonomía y diseño premium,899.99,Laptops,"Intel Core i5-1240P, 8GB RAM, 512GB SSD, Intel Iris Xe, 18h battery life"
10,CameraX Pro,Cámara mirrorless con sensor full-frame y grabación 8K,2499.99,Cameras,"45MP Full-frame sensor, 8K video, 5-axis stabilization, Dual card slots"
11,SoundBar Cinema,Barra de sonido con Dolby Atmos y subwoofer inalámbrico,349.99,Audio,"5.1.2 channels, Dolby Atmos, DTS:X, HDMI eARC, Wireless subwoofer"
12,TabletDraw Pro,Tablet con lápiz sensible a la presión ideal para diseñadores,699.99,Tablets,"12.9"" Liquid Retina XDR, M2 chip, 8GB RAM, 256GB storage, Apple Pencil support"
13,NetworkMesh System,Sistema WiFi mesh para cobertura completa en el hogar,299.99,Networking,"WiFi 6E, Tri-band, 6000 sq ft coverage, 3-pack, Parental controls"
14,VR Immersion X,Visor de realidad virtual con seguimiento ocular y controladores hápticos,799.99,VR/AR,"120Hz refresh rate, Eye tracking, 110° FOV, 4K per eye, Haptic controllers"
15,SmartPhone Pixel Ultra,Smartphone con la mejor cámara del mercado y IA avanzada,899.99,Smartphones,"Google Tensor G3, 12GB RAM, 256GB storage, 50MP camera system, Android 14"
16,MiniPC Creator,Mini ordenador potente para creadores de contenido,799.99,Desktops,"Intel Core i7-12700, 32GB RAM, 1TB SSD, Intel Iris Xe, Windows 11"
17,PrinterLaser Pro,Impresora láser a color con conectividad inalámbrica y doble cara,349.99,Printers,"Color laser, 28ppm, Duplex, WiFi, Ethernet, 250-sheet tray"
18,ExternalSSD 2TB,Disco SSD externo ultrarrápido con conexión Thunderbolt,249.99,Storage,"2TB, 2800MB/s read, 1900MB/s write, Thunderbolt 4, USB-C, Shock resistant"
19,KeyboardMech RGB,Teclado mecánico gaming con retroiluminación RGB personalizable,129.99,Peripherals,"Mechanical switches, RGB backlight, Macro keys, Wrist rest, Anti-ghosting"
20,SecurityCam 360,Cámara de seguridad con visión 360 grados y detección de movimiento,159.99,Smart Home,"1080p HD, 360° rotation, Night vision, Motion detection, Cloud storage"
